Date,Symbol,Close
1/2/2015,NVDA,20.13
1/5/2015,NVDA,19.79
1/6/2015,NVDA,19.19
1/7/2015,NVDA,19.14
1/8/2015,NVDA,19.86
1/9/2015,NVDA,19.94
1/12/2015,NVDA,19.69
1/13/2015,NVDA,19.66
1/14/2015,NVDA,19.74
1/15/2015,NVDA,19.6
1/16/2015,NVDA,19.96
1/20/2015,NVDA,20.02
1/21/2015,NVDA,20.3
1/22/2015,NVDA,20.65
1/23/2015,NVDA,20.71
1/26/2015,NVDA,20.62
1/27/2015,NVDA,19.63
1/28/2015,NVDA,19.31
1/29/2015,NVDA,19.78
1/30/2015,NVDA,19.2
2/2/2015,NVDA,19.62
2/3/2015,NVDA,20.11
2/4/2015,NVDA,20.16
2/5/2015,NVDA,20.49
2/6/2015,NVDA,20.4
2/9/2015,NVDA,20.38
2/10/2015,NVDA,20.95
2/11/2015,NVDA,20.81
2/12/2015,NVDA,22.3
2/13/2015,NVDA,22.31
2/17/2015,NVDA,22.38
2/18/2015,NVDA,22.12
2/19/2015,NVDA,22.18
2/20/2015,NVDA,22.34
2/23/2015,NVDA,22.16
2/24/2015,NVDA,22.31
2/25/2015,NVDA,22.14
2/26/2015,NVDA,22.2
2/27/2015,NVDA,22.06
3/2/2015,NVDA,22.6
3/3/2015,NVDA,22.18
3/4/2015,NVDA,22.43
3/5/2015,NVDA,22.86
3/6/2015,NVDA,22.55
3/9/2015,NVDA,22.61
3/10/2015,NVDA,23
3/11/2015,NVDA,22.88
3/12/2015,NVDA,22.67
3/13/2015,NVDA,22.7
3/16/2015,NVDA,22.97
3/17/2015,NVDA,23.25
3/18/2015,NVDA,22.87
3/19/2015,NVDA,23.22
3/20/2015,NVDA,23.47
3/23/2015,NVDA,22.71
3/24/2015,NVDA,22.4
3/25/2015,NVDA,21.04
3/26/2015,NVDA,20.97
3/27/2015,NVDA,21.38
3/30/2015,NVDA,21.47
3/31/2015,NVDA,20.93
4/1/2015,NVDA,21.01
4/2/2015,NVDA,21.06
4/6/2015,NVDA,21.67
4/7/2015,NVDA,21.86
4/8/2015,NVDA,22.02
4/9/2015,NVDA,22.53
4/10/2015,NVDA,22.76
4/13/2015,NVDA,22.55
4/14/2015,NVDA,22.36
4/15/2015,NVDA,22.63
4/16/2015,NVDA,22.49
4/17/2015,NVDA,22.2
4/20/2015,NVDA,22.09
4/21/2015,NVDA,22.06
4/22/2015,NVDA,22.31
4/23/2015,NVDA,22.22
4/24/2015,NVDA,22.03
4/27/2015,NVDA,22.2
4/28/2015,NVDA,22.31
4/29/2015,NVDA,22.14
4/30/2015,NVDA,22.2
5/1/2015,NVDA,22.75
5/4/2015,NVDA,22.61
5/5/2015,NVDA,22.03
5/6/2015,NVDA,22.1
5/7/2015,NVDA,22.49
5/8/2015,NVDA,20.83
5/11/2015,NVDA,20.63
5/12/2015,NVDA,20.83
5/13/2015,NVDA,20.95
5/14/2015,NVDA,21.29
5/15/2015,NVDA,21.3
5/18/2015,NVDA,21.27
5/19/2015,NVDA,21.04
5/20/2015,NVDA,21.04
5/21/2015,NVDA,20.89
5/22/2015,NVDA,20.86
5/26/2015,NVDA,20.73
5/27/2015,NVDA,21.84
5/28/2015,NVDA,22.14
5/29/2015,NVDA,22.13
6/1/2015,NVDA,22.38
6/2/2015,NVDA,21.94
6/3/2015,NVDA,21.7
6/4/2015,NVDA,22.09
6/5/2015,NVDA,22.26
6/8/2015,NVDA,21.75
6/9/2015,NVDA,21.86
6/10/2015,NVDA,21.47
6/11/2015,NVDA,21.7
6/12/2015,NVDA,21.11
6/15/2015,NVDA,21.07
6/16/2015,NVDA,21.33
6/17/2015,NVDA,21.58
6/18/2015,NVDA,21.94
6/19/2015,NVDA,21.87
6/22/2015,NVDA,21.78
6/23/2015,NVDA,21.22
6/24/2015,NVDA,21.01
6/25/2015,NVDA,21.17
6/26/2015,NVDA,20.74
6/29/2015,NVDA,20.12
6/30/2015,NVDA,20.11
7/1/2015,NVDA,20.4
7/2/2015,NVDA,20.42
7/6/2015,NVDA,20.17
7/7/2015,NVDA,19.79
7/8/2015,NVDA,19.65
7/9/2015,NVDA,19.41
7/10/2015,NVDA,19.75
7/13/2015,NVDA,19.88
7/14/2015,NVDA,19.89
7/15/2015,NVDA,19.75
7/16/2015,NVDA,20.19
7/17/2015,NVDA,20.07
7/20/2015,NVDA,19.7
7/21/2015,NVDA,19.79
7/22/2015,NVDA,19.41
7/23/2015,NVDA,19.65
7/24/2015,NVDA,19.42
7/27/2015,NVDA,19.31
7/28/2015,NVDA,19.73
7/29/2015,NVDA,19.97
7/30/2015,NVDA,20.02
7/31/2015,NVDA,19.95
8/3/2015,NVDA,20.29
8/4/2015,NVDA,20.37
8/5/2015,NVDA,20.58
8/6/2015,NVDA,20.45
8/7/2015,NVDA,22.98
8/10/2015,NVDA,23.78
8/11/2015,NVDA,23.66
8/12/2015,NVDA,23.72
8/13/2015,NVDA,23.52
8/14/2015,NVDA,23.54
8/17/2015,NVDA,23.39
8/18/2015,NVDA,23.08
8/19/2015,NVDA,22.99
8/20/2015,NVDA,22.16
8/21/2015,NVDA,21.47
8/24/2015,NVDA,20.71
8/25/2015,NVDA,20.28
8/26/2015,NVDA,21.81
8/27/2015,NVDA,22.63
8/28/2015,NVDA,22.73
8/31/2015,NVDA,22.48
9/1/2015,NVDA,21.56
9/2/2015,NVDA,22.21
9/3/2015,NVDA,22.27
9/4/2015,NVDA,21.75
9/8/2015,NVDA,22.68
9/9/2015,NVDA,22.23
9/10/2015,NVDA,22.58
9/11/2015,NVDA,22.65
9/14/2015,NVDA,22.69
9/15/2015,NVDA,22.94
9/16/2015,NVDA,23.1
9/17/2015,NVDA,23.31
9/18/2015,NVDA,23.29
9/21/2015,NVDA,23.53
9/22/2015,NVDA,22.89
9/23/2015,NVDA,23
9/24/2015,NVDA,23.44
9/25/2015,NVDA,23.61
9/28/2015,NVDA,23.3
9/29/2015,NVDA,23.71
9/30/2015,NVDA,24.65
10/1/2015,NVDA,24.17
10/2/2015,NVDA,24.8
10/5/2015,NVDA,25.42
10/6/2015,NVDA,25.75
10/7/2015,NVDA,26.02
10/8/2015,NVDA,26.17
10/9/2015,NVDA,26.07
10/12/2015,NVDA,26.35
10/13/2015,NVDA,26.4
10/14/2015,NVDA,27.36
10/15/2015,NVDA,27.43
10/16/2015,NVDA,27.86
10/19/2015,NVDA,27.81
10/20/2015,NVDA,27.77
10/21/2015,NVDA,27.41
10/22/2015,NVDA,28.4
10/23/2015,NVDA,28.59
10/26/2015,NVDA,28.46
10/27/2015,NVDA,28.44
10/28/2015,NVDA,28.67
10/29/2015,NVDA,27.68
10/30/2015,NVDA,28.37
11/2/2015,NVDA,28.7
11/3/2015,NVDA,28.5
11/4/2015,NVDA,28.03
11/5/2015,NVDA,27.71
11/6/2015,NVDA,31.55
11/9/2015,NVDA,31.41
11/10/2015,NVDA,30.81
11/11/2015,NVDA,30.51
11/12/2015,NVDA,30.4
11/13/2015,NVDA,29.8
11/16/2015,NVDA,30.4
11/17/2015,NVDA,30.4
11/18/2015,NVDA,31.03
11/19/2015,NVDA,31.12
11/20/2015,NVDA,31.39
11/23/2015,NVDA,30.92
11/24/2015,NVDA,31.17
11/25/2015,NVDA,31.13
11/27/2015,NVDA,31.39
11/30/2015,NVDA,31.72
12/1/2015,NVDA,32.75
12/2/2015,NVDA,32.5
12/3/2015,NVDA,32.43
12/4/2015,NVDA,33.75
12/7/2015,NVDA,33.11
12/8/2015,NVDA,33.56
12/9/2015,NVDA,32.71
12/10/2015,NVDA,32.98
12/11/2015,NVDA,32.49
12/14/2015,NVDA,32.57
12/15/2015,NVDA,32.97
12/16/2015,NVDA,33.17
12/17/2015,NVDA,32.67
12/18/2015,NVDA,32.14
12/21/2015,NVDA,32.9
12/22/2015,NVDA,32.93
12/23/2015,NVDA,33.06
12/24/2015,NVDA,33.17
12/28/2015,NVDA,33.14
12/29/2015,NVDA,33.68
12/30/2015,NVDA,33.39
12/31/2015,NVDA,32.96
1/4/2016,NVDA,32.37
1/5/2016,NVDA,32.89
1/6/2016,NVDA,31.53
1/7/2016,NVDA,30.28
1/8/2016,NVDA,29.63
1/11/2016,NVDA,29.68
1/12/2016,NVDA,30.18
1/13/2016,NVDA,29.26
1/14/2016,NVDA,28.67
1/15/2016,NVDA,27.11
1/19/2016,NVDA,27.33
1/20/2016,NVDA,27.48
1/21/2016,NVDA,27.8
1/22/2016,NVDA,28.45
1/25/2016,NVDA,28.42
1/26/2016,NVDA,28.7
1/27/2016,NVDA,28.36
1/28/2016,NVDA,28.05
1/29/2016,NVDA,29.29
2/1/2016,NVDA,29.3
2/2/2016,NVDA,28.06
2/3/2016,NVDA,28.2
2/4/2016,NVDA,28.21
2/5/2016,NVDA,26.43
2/8/2016,NVDA,25.22
2/9/2016,NVDA,25.49
2/10/2016,NVDA,25.43
2/11/2016,NVDA,25.3
2/12/2016,NVDA,25.73
2/16/2016,NVDA,26.99
2/17/2016,NVDA,27.66
2/18/2016,NVDA,30.04
2/19/2016,NVDA,30.44
2/22/2016,NVDA,31.52
2/23/2016,NVDA,31.6
2/24/2016,NVDA,31.82
2/25/2016,NVDA,31.89
2/26/2016,NVDA,31.68
2/29/2016,NVDA,31.36
3/1/2016,NVDA,32.75
3/2/2016,NVDA,32.94
3/3/2016,NVDA,32.65
3/4/2016,NVDA,32.55
3/7/2016,NVDA,32.34
3/8/2016,NVDA,31.75
3/9/2016,NVDA,31.73
3/10/2016,NVDA,31.68
3/11/2016,NVDA,32.22
3/14/2016,NVDA,32.3
3/15/2016,NVDA,32.14
3/16/2016,NVDA,33.1
3/17/2016,NVDA,32.82
3/18/2016,NVDA,33.81
3/21/2016,NVDA,33.91
3/22/2016,NVDA,33.85
3/23/2016,NVDA,34.43
3/24/2016,NVDA,34.48
3/28/2016,NVDA,34.83
3/29/2016,NVDA,35.39
3/30/2016,NVDA,35.76
3/31/2016,NVDA,35.63
4/1/2016,NVDA,36.15
4/4/2016,NVDA,35.8
4/5/2016,NVDA,35.75
4/6/2016,NVDA,35.8
4/7/2016,NVDA,35.43
4/8/2016,NVDA,35.66
4/11/2016,NVDA,35.88
4/12/2016,NVDA,35.84
4/13/2016,NVDA,36.74
4/14/2016,NVDA,36.84
4/15/2016,NVDA,37.13
4/18/2016,NVDA,36.97
4/19/2016,NVDA,36.31
4/20/2016,NVDA,36.45
4/21/2016,NVDA,36.41
4/22/2016,NVDA,36.27
4/25/2016,NVDA,36.45
4/26/2016,NVDA,36.48
4/27/2016,NVDA,37.31
4/28/2016,NVDA,36.2
4/29/2016,NVDA,35.53
5/2/2016,NVDA,36
5/3/2016,NVDA,35.57
5/4/2016,NVDA,34.76
5/5/2016,NVDA,34.97
5/6/2016,NVDA,35.33
5/9/2016,NVDA,35.28
5/10/2016,NVDA,35.96
5/11/2016,NVDA,36.06
5/12/2016,NVDA,35.57
5/13/2016,NVDA,40.98
5/16/2016,NVDA,42.19
5/17/2016,NVDA,42.28
5/18/2016,NVDA,43.36
5/19/2016,NVDA,43.55
5/20/2016,NVDA,44.33
5/23/2016,NVDA,44.4
5/24/2016,NVDA,45.36
5/25/2016,NVDA,45.17
5/26/2016,NVDA,45.65
5/27/2016,NVDA,45.9
5/31/2016,NVDA,46.72
6/1/2016,NVDA,46.81
6/2/2016,NVDA,47.14
6/3/2016,NVDA,46.48
6/6/2016,NVDA,46.24
6/7/2016,NVDA,46.33
6/8/2016,NVDA,46.18
6/9/2016,NVDA,47.38
6/10/2016,NVDA,46.2
6/13/2016,NVDA,46.79
6/14/2016,NVDA,46.88
6/15/2016,NVDA,47.36
6/16/2016,NVDA,47.55
6/17/2016,NVDA,46.72
6/20/2016,NVDA,47.56
6/21/2016,NVDA,47.27
6/22/2016,NVDA,47.23
6/23/2016,NVDA,48.49
6/24/2016,NVDA,45.73
6/27/2016,NVDA,45.24
6/28/2016,NVDA,45.9
6/29/2016,NVDA,46.65
6/30/2016,NVDA,47.01
7/1/2016,NVDA,46.66
7/5/2016,NVDA,47.35
7/6/2016,NVDA,47.65
7/7/2016,NVDA,48.89
7/8/2016,NVDA,50.85
7/11/2016,NVDA,52.02
7/12/2016,NVDA,52.8
7/13/2016,NVDA,52.78
7/14/2016,NVDA,53.32
7/15/2016,NVDA,52.7
7/18/2016,NVDA,52.97
7/19/2016,NVDA,53.52
7/20/2016,NVDA,54.22
7/21/2016,NVDA,53.22
7/22/2016,NVDA,54.67
7/25/2016,NVDA,55.68
7/26/2016,NVDA,56.63
7/27/2016,NVDA,56.06
7/28/2016,NVDA,56.18
7/29/2016,NVDA,57.1
8/1/2016,NVDA,56.73
8/2/2016,NVDA,56.04
8/3/2016,NVDA,56.19
8/4/2016,NVDA,57.23
8/5/2016,NVDA,58.2
8/8/2016,NVDA,58.74
8/9/2016,NVDA,58.89
8/10/2016,NVDA,58.51
8/11/2016,NVDA,59.7
8/12/2016,NVDA,63.04
8/15/2016,NVDA,62.98
8/16/2016,NVDA,62.6
8/17/2016,NVDA,61.15
8/18/2016,NVDA,62.1
8/19/2016,NVDA,62.26
8/22/2016,NVDA,62.52
8/23/2016,NVDA,62.91
8/24/2016,NVDA,61.94
8/25/2016,NVDA,61.53
8/26/2016,NVDA,62.03
8/29/2016,NVDA,61.99
8/30/2016,NVDA,61.63
8/31/2016,NVDA,61.34
9/1/2016,NVDA,63.15
9/2/2016,NVDA,62.53
9/6/2016,NVDA,63.12
9/7/2016,NVDA,62.19
9/8/2016,NVDA,62.64
9/9/2016,NVDA,59.52
9/12/2016,NVDA,60.75
9/13/2016,NVDA,59.87
9/14/2016,NVDA,60.4
9/15/2016,NVDA,62.69
9/16/2016,NVDA,62.84
9/19/2016,NVDA,63.67
9/20/2016,NVDA,63.09
9/21/2016,NVDA,64.86
9/22/2016,NVDA,65.02
9/23/2016,NVDA,64.95
9/26/2016,NVDA,64.34
9/27/2016,NVDA,66.54
9/28/2016,NVDA,66.78
9/29/2016,NVDA,67.4
9/30/2016,NVDA,68.52
10/3/2016,NVDA,68.45
10/4/2016,NVDA,68.3
10/5/2016,NVDA,68.23
10/6/2016,NVDA,67.34
10/7/2016,NVDA,66.85
10/10/2016,NVDA,67.1
10/11/2016,NVDA,66.13
10/12/2016,NVDA,66.43
10/13/2016,NVDA,65.35
10/14/2016,NVDA,65.99
10/17/2016,NVDA,65.61
10/18/2016,NVDA,66.61
10/19/2016,NVDA,66.47
10/20/2016,NVDA,67.73
10/21/2016,NVDA,67.54
10/24/2016,NVDA,70.71
10/25/2016,NVDA,71.87
10/26/2016,NVDA,72.16
10/27/2016,NVDA,70.68
10/28/2016,NVDA,70.56
10/31/2016,NVDA,71.16
11/1/2016,NVDA,69.05
11/2/2016,NVDA,68.76
11/3/2016,NVDA,67.96
11/4/2016,NVDA,67.57
11/7/2016,NVDA,71.27
11/8/2016,NVDA,71.16
11/9/2016,NVDA,69.96
11/10/2016,NVDA,67.77
11/11/2016,NVDA,87.97
11/14/2016,NVDA,83.64
11/15/2016,NVDA,86.19
11/16/2016,NVDA,91.63
11/17/2016,NVDA,92.39
11/18/2016,NVDA,93.36
11/21/2016,NVDA,92.98
11/22/2016,NVDA,93.65
11/23/2016,NVDA,93.97
11/25/2016,NVDA,94.16
11/28/2016,NVDA,94.11
11/29/2016,NVDA,93.25
11/30/2016,NVDA,92.2
12/1/2016,NVDA,87.64
12/2/2016,NVDA,88.45
12/5/2016,NVDA,91.88
12/6/2016,NVDA,93.39
12/7/2016,NVDA,95.07
12/8/2016,NVDA,93.48
12/9/2016,NVDA,91.82
12/12/2016,NVDA,89.59
12/13/2016,NVDA,91.17
12/14/2016,NVDA,96.45
12/15/2016,NVDA,98.71
12/16/2016,NVDA,100.41
12/19/2016,NVDA,101.63
12/20/2016,NVDA,105.17
12/21/2016,NVDA,105.83
12/22/2016,NVDA,107.11
12/23/2016,NVDA,109.78
12/27/2016,NVDA,117.32
12/28/2016,NVDA,109.25
12/29/2016,NVDA,111.43
12/30/2016,NVDA,106.74
1/3/2017,NVDA,102.01
1/4/2017,NVDA,104.39
1/5/2017,NVDA,101.74
1/6/2017,NVDA,103.1
1/9/2017,NVDA,107.28
1/10/2017,NVDA,106.47
1/11/2017,NVDA,105.16
1/12/2017,NVDA,103.44
1/13/2017,NVDA,103.43
1/17/2017,NVDA,101.11
1/18/2017,NVDA,102.95
1/19/2017,NVDA,105.16
1/20/2017,NVDA,104.01
1/23/2017,NVDA,105.09
1/24/2017,NVDA,107.33
1/25/2017,NVDA,107.79
1/26/2017,NVDA,109.65
1/27/2017,NVDA,111.77
1/30/2017,NVDA,110.02
1/31/2017,NVDA,109.18
2/1/2017,NVDA,113.95
2/2/2017,NVDA,115.39
2/3/2017,NVDA,114.38
2/6/2017,NVDA,117.31
2/7/2017,NVDA,119.13
2/8/2017,NVDA,118.61
2/9/2017,NVDA,116.38
2/10/2017,NVDA,113.62
2/13/2017,NVDA,108.38
2/14/2017,NVDA,108.78
2/15/2017,NVDA,109
2/16/2017,NVDA,107.25
2/17/2017,NVDA,107.23
2/21/2017,NVDA,111.07
2/22/2017,NVDA,110.76
2/23/2017,NVDA,100.49
2/24/2017,NVDA,101.46
2/27/2017,NVDA,104.41
2/28/2017,NVDA,101.48
3/1/2017,NVDA,102.79
3/2/2017,NVDA,99
3/3/2017,NVDA,98.43
3/6/2017,NVDA,97.67
3/7/2017,NVDA,98.74
3/8/2017,NVDA,98.56
3/9/2017,NVDA,98.54
3/10/2017,NVDA,99.12
3/13/2017,NVDA,101.85
3/14/2017,NVDA,101.78
3/15/2017,NVDA,102.55
3/16/2017,NVDA,103.81
3/17/2017,NVDA,106.07
3/20/2017,NVDA,109.45
3/21/2017,NVDA,105.91
3/22/2017,NVDA,108.07
3/23/2017,NVDA,107.09
3/24/2017,NVDA,107.47
3/27/2017,NVDA,108.25
3/28/2017,NVDA,107.69
3/29/2017,NVDA,107.34
3/30/2017,NVDA,109.4
3/31/2017,NVDA,108.93
4/3/2017,NVDA,108.38
4/4/2017,NVDA,100.78
4/5/2017,NVDA,100.03
4/6/2017,NVDA,100.76
4/7/2017,NVDA,100.33
4/10/2017,NVDA,97.77
4/11/2017,NVDA,98.12
4/12/2017,NVDA,97.31
4/13/2017,NVDA,95.49
4/17/2017,NVDA,99.23
4/18/2017,NVDA,99.29
4/19/2017,NVDA,99.68
4/20/2017,NVDA,101.26
4/21/2017,NVDA,101.68
4/24/2017,NVDA,102.95
4/25/2017,NVDA,104.74
4/26/2017,NVDA,104.02
4/27/2017,NVDA,105.64
4/28/2017,NVDA,104.3
5/1/2017,NVDA,106.64
5/2/2017,NVDA,103.48
5/3/2017,NVDA,104.25
5/4/2017,NVDA,103.85
5/5/2017,NVDA,103.86
5/8/2017,NVDA,102.77
5/9/2017,NVDA,102.94
5/10/2017,NVDA,121.29
5/11/2017,NVDA,126.5
5/12/2017,NVDA,127.89
5/15/2017,NVDA,134.31
5/16/2017,NVDA,136.81
5/17/2017,NVDA,127.72
5/18/2017,NVDA,133.07
5/19/2017,NVDA,136
5/22/2017,NVDA,138.9
5/23/2017,NVDA,137.03
5/24/2017,NVDA,138.57
5/25/2017,NVDA,138.26
5/26/2017,NVDA,141.84
5/30/2017,NVDA,144.87
5/31/2017,NVDA,144.35
6/1/2017,NVDA,144.36
6/2/2017,NVDA,143.64
6/5/2017,NVDA,148.01
6/6/2017,NVDA,147.34
6/7/2017,NVDA,149.12
6/8/2017,NVDA,159.94
6/9/2017,NVDA,149.6
6/12/2017,NVDA,149.97
6/13/2017,NVDA,151.4
6/14/2017,NVDA,151.72
6/15/2017,NVDA,152.37
6/16/2017,NVDA,151.62
6/19/2017,NVDA,157.32
6/20/2017,NVDA,157.09
6/21/2017,NVDA,159.47
6/22/2017,NVDA,158.37
6/23/2017,NVDA,153.83
6/26/2017,NVDA,152.15
6/27/2017,NVDA,146.58
6/28/2017,NVDA,151.75
6/29/2017,NVDA,146.68
6/30/2017,NVDA,144.56
7/3/2017,NVDA,139.33
7/5/2017,NVDA,143.05
7/6/2017,NVDA,143.48
7/7/2017,NVDA,146.76
7/10/2017,NVDA,153.7
7/11/2017,NVDA,155.88
7/12/2017,NVDA,162.51
7/13/2017,NVDA,160.63
7/14/2017,NVDA,164.95
7/17/2017,NVDA,164.25
7/18/2017,NVDA,165.96
